"id","name","album_type","total_tracks","external_urls_spotify","release_date","release_date_precision","artist_id"
"1NAmidJlEaVgA3MpcPFYGq","Midnights","album","13","https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq","2022-10-21",,"06HL4z0CvFAxyc27GXpf02"
"2nLOHgzXzwFEpl62zAgCEC","After Hours","album","14","https://open.spotify.com/album/2nLOHgzXzwFEpl62zAgCEC","2020-03-20",,"1Xyo4u8uXC1ZmMpatF05PJ"
"4g1ZRSobMefqF6nelkgibi","Hollywood's Bleeding","album","17","https://open.spotify.com/album/4g1ZRSobMefqF6nelkgibi","2019-09-06",,"246dkjvS1zLTtiykXe5h60"
"5Op53ANI4exiWqFHKNWCZm","CALL ME IF YOU GET LOST","album","16","https://open.spotify.com/album/5Op53ANI4exiWqFHKNWCZm","2021-06-25",,"4V8LLVI7PbaPR0K2TGSxFF"
"6O0ZVeWO8YvZzKWkUHnlT5","Her Loss","album","16","https://open.spotify.com/album/6O0ZVeWO8YvZzKWkUHnlT5","2022-11-04",,"3TVXtAsR1Inumwj472S9r4"
"6swV0WUnPygRIMgEKn6Ige","Limbo","album","14","https://open.spotify.com/album/6swV0WUnPygRIMgEKn6Ige","2020-08-07",,"3Gm5F95VdRxW3mqCn8RPBJ"
